,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rush_discrepancy,rush_discrepancy_abs,rushing_value
4963,2021,14,CHI,GB,30,45,23,137.0,3.8382087,0.0,0.92452714012922,0.1668786391304348,1.0494705902083004,-0.12494345007908036,0.12494345007908036,0.92452714012922
4964,2021,14,CIN,SF,23,26,25,87.0,-3.5115376,0.0,-0.46651681884002677,-0.14046150400000001,-0.39080797931131134,-0.07570883952871543,0.07570883952871543,-0.46651681884002677
4965,2021,14,CLE,BAL,24,22,27,102.0,-2.2037477,0.0,-0.21899899091227976,-0.08162028518518519,-0.11506220266076457,-0.10393678825151519,0.10393678825151519,-0.21899899091227976
4966,2021,14,DAL,WAS,27,20,33,127.0,0.3110413,0.0,0.256960573369866,0.00942549393939394,0.31160280498418663,-0.054642231614320635,0.054642231614320635,0.256960573369866
4967,2021,14,DEN,DET,38,10,39,184.0,7.655398,3.0,1.646984473929578,0.1962922564102564,1.1873107115431814,0.4596737623863967,0.4596737623863967,1.646984473929578
4968,2021,14,DET,DEN,10,38,21,118.0,0.39359036,0.0,0.27258415635416433,0.018742398095238096,0.355264323630111,-0.08268016727594668,0.08268016727594668,0.27258415635416433
4969,2021,14,GB,CHI,45,30,22,120.0,4.0663676,1.0,0.9677094550793387,0.18483489090909092,1.1336184153582387,-0.1659089602789,0.1659089602789,0.9677094550793387
4970,2021,14,HOU,SEA,13,33,25,63.0,-8.53082,0.0,-1.4164873587592977,-0.3412328,-1.33167626959761,-0.08481108916168756,0.08481108916168756,-1.4164873587592977
4971,2021,14,JAX,TEN,0,20,8,8.0,-5.7300696,0.0,-0.8864055347784207,-0.7162587,-3.0891484998215986,2.202742965043178,2.202742965043178,-0.8864055347784207
4972,2021,14,KC,LV,48,9,27,134.0,3.3928716,3.0,0.8402407637872388,0.1256619111111111,0.856317917513811,-0.016077153726572257,0.016077153726572257,0.8402407637872388
4973,2021,14,LA,ARI,30,23,21,89.0,-2.7559326,0.0,-0.32350783217378526,-0.1312348857142857,-0.3475695645351059,0.024061732361320642,0.024061732361320642,-0.32350783217378526
4974,2021,14,LAC,NYG,37,21,35,154.0,0.74255466,1.0,0.3386306104216921,0.021215847428571428,0.36685557243772504,-0.028224962016032917,0.028224962016032917,0.3386306104216921
4975,2021,14,LV,KC,9,48,12,44.0,-6.7317376,0.0,-1.0759854418145052,-0.5609781333333334,-2.3614620018754264,1.2854765600609213,1.2854765600609213,-1.0759854418145052
4976,2021,14,MIN,PIT,36,28,36,242.0,9.846384,2.0,2.061659717820132,0.2735106666666667,1.5491769498154826,0.5124827680046493,0.5124827680046493,2.061659717820132
4977,2021,14,NO,NYJ,30,9,44,203.0,6.3175044,3.0,1.3937690928730078,0.14357964545454546,0.9402852396030761,0.4534838532699317,0.4534838532699317,1.3937690928730078
4978,2021,14,NYG,LAC,21,37,27,137.0,9.196625,1.0,1.938683591183502,0.3406157407407407,1.8636493747661562,0.07503421641734587,0.07503421641734587,1.938683591183502
4980,2021,14,NYJ,NO,9,30,17,78.0,-5.2414556,0.0,-0.7939283899594493,-0.3083209176470588,-1.1774423372753544,0.38351394731590516,0.38351394731590516,-0.7939283899594493
4981,2021,14,PIT,MIN,28,36,24,106.0,2.1660614,1.0,0.6080494951563946,0.09025255833333333,0.6903801670887094,-0.0823306719323148,0.0823306719323148,0.6080494951563946
4982,2021,14,SEA,HOU,33,13,29,193.0,4.079866,2.0,0.9702642191500046,0.14068503448275863,0.9267203140866863,0.04354390506331829,0.04354390506331829,0.9702642191500046
4983,2021,14,SF,CIN,26,23,23,100.0,1.3307686,1.0,0.4499584596317389,0.05785950434782609,0.5385776040345964,-0.08861914440285751,0.08861914440285751,0.4499584596317389
4984,2021,14,TB,BUF,33,27,27,139.0,2.76027,2.0,0.7205119189814964,0.10223222222222221,0.7465200939901295,-0.026008175008633172,0.026008175008633172,0.7205119189814964
