,season,week,team,opponent,score,opponent_score,special_teams_epa,special_teams_epa_standardized,special_teams_value
1237,2015,18,SEA,MIN,10,9,0.31700563,0.0664958477198235,0.0664958477198235
1238,2015,18,WAS,GB,18,35,2.154498,0.4519325758367897,0.4519325758367897
1239,2015,19,ARI,GB,26,20,3.757514,0.7881849882259343,0.7881849882259343
1240,2015,19,CAR,SEA,31,24,-0.6916212,-0.14507609216593914,-0.14507609216593914
1241,2015,19,DEN,PIT,23,16,6.4072795,1.3440060415657187,1.3440060415657187
1242,2015,19,GB,ARI,20,26,-3.757514,-0.7881849882259343,-0.7881849882259343
1243,2015,19,KC,NE,20,27,-0.15330291,-0.032157179537681414,-0.032157179537681414
1244,2015,19,NE,KC,27,20,0.15330291,0.03215717953768143,0.03215717953768143
1245,2015,19,PIT,DEN,16,23,-6.4072795,-1.3440060415657187,-1.3440060415657187
1246,2015,19,SEA,CAR,24,31,0.6916212,0.14507609216593914,0.14507609216593914
1247,2015,20,ARI,CAR,15,49,-5.3871374,-1.1300186315182035,-1.1300186315182035
1249,2015,20,CAR,ARI,49,15,5.3871374,1.1300186315182035,1.1300186315182035
1250,2015,20,DEN,NE,20,18,0.23465753,0.049222316276180705,0.049222316276180705
1251,2015,20,NE,DEN,18,20,-0.23465753,-0.04922231627618069,-0.04922231627618069
1252,2015,21,CAR,DEN,10,24,-12.175419,-2.553944571107604,-2.553944571107604
1253,2015,21,DEN,CAR,24,10,12.175419,2.553944571107604,2.553944571107604
1254,2016,1,ARI,NE,21,23,-9.721609,-2.039227605060723,-2.039227605060723
1255,2016,1,ATL,TB,24,31,-0.34433603,-0.072228736806121,-0.072228736806121
1256,2016,1,BAL,BUF,13,7,5.0660176,1.0626597858074185,1.0626597858074185
1257,2016,1,BUF,BAL,7,13,-5.0660176,-1.0626597858074185,-1.0626597858074185
1258,2016,1,CAR,DEN,20,21,-0.5063304,-0.10620905746789835,-0.10620905746789835
1259,2016,1,CHI,HOU,14,23,-3.0451317,-0.6387539988170157,-0.6387539988170157
1260,2016,1,CIN,NYJ,23,22,-0.6975832,-0.14632669533063872,-0.14632669533063872
1261,2016,1,CLE,PHI,10,29,0.76092124,0.15961263180663157,0.15961263180663157
1262,2016,1,DAL,NYG,19,20,7.1334553,1.496330388028023,1.496330388028023
1263,2016,1,DEN,CAR,21,20,0.5063304,0.10620905746789835,0.10620905746789835
1264,2016,1,DET,IND,39,35,1.7183037,0.36043543192469263,0.36043543192469263
