,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rushing_value
2453,2017,17,CLE,PIT,24,28,27,102.0,-1.5630194,1.0,-0.09773205340946624,-0.0578896074074074,-0.0038538650847303305,-0.0038538650847303305
2454,2017,17,DAL,PHI,6,0,32,129.0,-7.3888507,0.0,-1.2003534373574407,-0.230901584375,-0.814634520584976,-0.814634520584976
2455,2017,17,DEN,KC,24,27,29,110.0,-2.1495004,0.0,-0.20873191910746405,-0.07412070344827586,-0.07991714647228296,-0.07991714647228296
2456,2017,17,DET,GB,35,11,22,52.0,-5.8764777,1.0,-0.914115349703658,-0.2671126227272727,-0.9843291852329592,-0.9843291852329592
2458,2017,17,GB,DET,11,35,27,103.0,-6.830622,0.0,-1.0947007210226098,-0.252986,-0.9181280317892976,-0.9181280317892976
2461,2017,17,HOU,IND,13,22,27,85.0,-3.5707486,1.0,-0.47772334308116676,-0.13224994814814814,-0.3523264209488396,-0.3523264209488396
2462,2017,17,IND,HOU,22,13,34,149.0,2.9341946,1.0,0.7534296210781225,0.08629984117647059,0.671856670613926,0.671856670613926
2463,2017,17,JAX,TEN,10,15,24,83.0,-2.8257077,0.0,-0.336713762481769,-0.11773782083333334,-0.2843186893268114,-0.2843186893268114
2464,2017,17,KC,DEN,27,24,26,111.0,-6.557919,2.0,-1.043087801975887,-0.25222765384615387,-0.914574217755795,-0.914574217755795
2466,2017,17,LA,SF,13,34,26,102.0,0.63322425,1.0,0.3179382755356837,0.02435477884615385,0.3815654484600668,0.3815654484600668
2467,2017,17,LAC,LV,30,10,28,117.0,-0.31368485,0.0,0.13872226866041926,-0.011203030357142858,0.21493199128963208,0.21493199128963208
2468,2017,17,LV,LAC,10,30,23,105.0,-7.097341,0.0,-1.1451810830106441,-0.3085800434782609,-1.1786566715010824,-1.1786566715010824
2469,2017,17,MIA,BUF,16,22,22,93.0,-0.027557373,1.0,0.1928759607996479,-0.0012526078636363636,0.26156234725221816,0.26156234725221816
2471,2017,17,MIN,CHI,23,10,34,149.0,-1.8930264,2.0,-0.160190568995477,-0.055677247058823535,0.006513850521245147,0.006513850521245147
2472,2017,17,NE,NYJ,26,6,38,147.0,-1.8745513,1.0,-0.15669389370888273,-0.04933029736842105,0.03625736377741421,0.03625736377741421
2474,2017,17,NO,TB,24,31,26,92.0,-1.5938509,1.0,-0.10356735303429268,-0.061301957692307694,-0.01984505626859931,-0.01984505626859931
2475,2017,17,NYG,WAS,18,10,41,264.0,7.645533,1.0,1.6451173819055318,0.18647641463414635,1.1413110362443277,1.1413110362443277
2476,2017,17,NYJ,NE,6,26,18,41.0,-6.0740924,0.0,-0.951516740643774,-0.33744957777777773,-1.313947073666324,-1.313947073666324
2477,2017,17,PHI,DAL,0,6,18,70.0,-2.1071024,0.0,-0.20070749494732296,-0.11706124444444445,-0.28114807040381007,-0.28114807040381007
2479,2017,17,PIT,CLE,28,24,27,130.0,-2.2036629,2.0,-0.21898294211736172,-0.08161714444444444,-0.11504748514202119,-0.11504748514202119
2480,2017,17,SEA,ARI,24,26,22,101.0,-4.404359,0.0,-0.635495960513708,-0.20019813636363637,-0.6707499055364233,-0.6707499055364233
2481,2017,17,SF,LA,34,13,28,170.0,1.4679542,2.0,0.47592278371940394,0.052426935714285715,0.5131191255278283,0.5131191255278283
2482,2017,17,TB,NO,31,24,28,110.0,2.089352,2.0,0.5935311501371247,0.07461971428571428,0.6171204546432402,0.6171204546432402
2483,2017,17,TEN,JAX,15,10,38,117.0,-19.525873,0.0,-3.4974574275525265,-0.5138387631578948,-2.1405542360851073,-2.1405542360851073
2484,2017,17,WAS,NYG,10,18,16,61.0,1.0017009,1.0,0.3876777192053817,0.06260630625,0.5608223935915894,0.5608223935915894
2485,2017,18,ATL,LA,26,13,36,127.0,-2.376304,1.0,-0.2516577242739101,-0.06600844444444445,-0.04190091899488581,-0.04190091899488581
2486,2017,18,BUF,JAX,3,10,32,130.0,-0.334965,0.0,0.13469469778935397,-0.01046765625,0.21837815213396994,0.21837815213396994
