,season,week,team,opponent,score,opponent_score,total_plays,total_possession_time_seconds,pass_percentage,run_percentage,total_plays_standardized,total_possession_time_standardized,pass_percentage_standardized
2699,2018,6,CIN,PIT,21,28,58.0,1504.0,0.7758620689655172,0.2241379310344827,-0.8867709407374396,-1.1760850903967457,1.7612065114543556
2700,2018,6,CLE,LAC,14,38,74.0,1703.0,0.7123287671232876,0.2876712328767123,0.9079217564970161,-0.43492620166666973,1.1608674701237254
2701,2018,6,DAL,JAX,40,7,76.0,2330.0,0.4166666666666667,0.5833333333333334,1.1322583436513232,1.9002829603120117,-1.632903619984305
2702,2018,6,DEN,LA,20,23,62.0,1490.0,0.7288135593220338,0.2711864406779661,-0.43809776642882564,-1.2282269217646906,1.316635611526254
2703,2018,6,GB,SF,33,30,74.0,1868.0,0.6956521739130435,0.3043478260869565,0.9079217564970161,0.17960252516982536,1.003286962103531
2704,2018,6,HOU,BUF,20,13,59.0,1620.0,0.5892857142857143,0.4107142857142857,-0.7746026471602862,-0.7440527733480582,-0.0017912653900685833
2706,2018,6,IND,NYJ,34,42,68.0,1378.0,0.6515151515151515,0.3484848484848485,0.23491199503409524,-1.6453615727082511,0.58622729504359
2707,2018,6,JAX,DAL,7,40,47.0,1270.0,0.6170212765957447,0.3829787234042553,-2.120622170086128,-2.047598557546684,0.26028768226667215
2708,2018,6,KC,NE,40,43,57.0,1431.0,0.6792452830188679,0.320754716981132,-0.9989392343145931,-1.4479674968153162,0.8482549259111563
2709,2018,6,LA,DEN,23,20,76.0,2110.0,0.4714285714285714,0.5285714285714286,1.1322583436513232,1.0809113245300181,-1.1154472868026855
2710,2018,6,LAC,CLE,38,14,59.0,1897.0,0.3928571428571428,0.6071428571428571,-0.7746026471602862,0.2876106044319972,-1.857884634411097
2712,2018,6,LV,SEA,3,27,58.0,1714.0,0.6607142857142857,0.3392857142857143,-0.8867709407374396,-0.3939576198775701,0.6731517778903048
2713,2018,6,MIA,CHI,31,28,78.0,2195.0,0.5866666666666667,0.4133333333333333,1.3565949308056302,1.39748672926397,-0.02653917697701574
2714,2018,6,MIN,ARI,27,17,72.0,2062.0,0.5441176470588235,0.4558823529411764,0.6835851693427092,0.9021393312684923,-0.42859348393501134
2715,2018,6,NE,KC,43,40,80.0,2169.0,0.5,0.5,1.580931517959937,1.3006518995806438,-0.8454700694905358
2716,2018,6,NYG,PHI,13,34,67.0,1650.0,0.734375,0.265625,0.12274370145694176,-0.6323202775596045,1.3691867912731903
2717,2018,6,NYJ,IND,42,34,75.0,2222.0,0.484375,0.515625,1.0200900500741696,1.4980459754735784,-0.9931138602081176
2718,2018,6,PHI,NYG,34,13,71.0,1950.0,0.5441176470588235,0.4558823529411764,0.5714168757655557,0.485004680324932,-0.42859348393501134
2719,2018,6,PIT,CIN,28,21,69.0,2096.0,0.7014925373134329,0.2985074626865671,0.34708028861124873,1.0287694931620732,1.058473739166041
2720,2018,6,SEA,LV,27,3,63.0,1886.0,0.4067796610169492,0.5932203389830508,-0.3259294728516722,0.24664202264289753,-1.726327939534413
2721,2018,6,SF,GB,30,33,58.0,1732.0,0.4545454545454545,0.5454545454545454,-0.8867709407374396,-0.3269181224044979,-1.2749792788507743
2722,2018,6,TB,ATL,29,34,64.0,1701.0,0.6825396825396826,0.3174603174603174,-0.21376117927451868,-0.44237503471923334,0.8793843744481971
