,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win
39,2014,2,CAR,DET,24,7,18,70.0,-4.38752,0.0,3.888888888888889,-0.24375111111111114,0.0,1
40,2014,2,CHI,SF,28,20,27,127.0,-4.8949323,1.0,4.703703703703703,-0.1812937888888889,0.037037037037037035,0
41,2014,2,CIN,ATL,24,10,19,97.0,3.8573043,0.0,5.105263157894737,0.20301601578947367,0.0,1
43,2014,2,CLE,NO,26,24,27,174.0,7.643983,1.0,6.444444444444445,0.2831104814814815,0.037037037037037035,0
45,2014,2,DAL,TEN,26,10,13,82.0,2.49238,0.0,6.3076923076923075,0.19172153846153844,0.0,1
46,2014,2,DEN,KC,24,17,31,133.0,-3.9450884,2.0,4.290322580645161,-0.12726091612903226,0.06451612903225806,0
47,2014,2,DET,CAR,7,24,23,63.0,-6.7290645,1.0,2.739130434782609,-0.29256802173913043,0.043478260869565216,1
48,2014,2,GB,NYJ,31,24,36,148.0,1.9394509,2.0,4.111111111111111,0.05387363611111111,0.05555555555555555,0
49,2014,2,HOU,LV,30,14,17,101.0,3.4024422,1.0,5.9411764705882355,0.2001436588235294,0.058823529411764705,1
50,2014,2,IND,PHI,27,30,27,127.0,2.1192138,2.0,4.703703703703703,0.07848939999999999,0.07407407407407407,0
51,2014,2,JAX,WAS,10,41,41,192.0,1.7079041,3.0,4.682926829268292,0.041656197560975605,0.07317073170731707,0
52,2014,2,KC,DEN,17,24,18,89.0,1.6142023,0.0,4.944444444444445,0.08967790555555556,0.0,1
53,2014,2,LA,TB,19,17,30,157.0,1.272596,2.0,5.233333333333333,0.04241986666666667,0.06666666666666667,0
54,2014,2,LAC,SEA,30,21,13,108.0,5.0651526,1.0,8.307692307692308,0.3896271230769231,0.07692307692307693,0
55,2014,2,LV,HOU,14,30,45,189.0,1.7701228,1.0,4.2,0.039336062222222225,0.022222222222222223,0
56,2014,2,MIA,BUF,10,29,32,115.0,-11.031355,0.0,3.59375,-0.34472984375,0.0,0
57,2014,2,MIN,NE,7,30,37,150.0,-3.8302069,1.0,4.054054054054054,-0.1035191054054054,0.02702702702702703,0
