,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,qb_rush_yards,qb_rushing_epa,qb_rush_tds,rb_win,ypc,rushing_epa_per_carry,rb_win_pred,rb_value,rushing_value,qb_rushing_value_pct
99,2014,4,CAR,BAL,10,38,26,67.0,-13.087623,0.0,7.0,0.0,0.0,0,2.576923076923077,-0.5033701153846154,0,0.06531243674667762,0.06531243674667762,0.10294117647058823
100,2014,4,CHI,GB,17,38,41,235.0,6.352316,0.0,29.0,5.0275874,0.0,1,5.7317073170731705,0.1549345365853658,1,0.7801068161668933,0.7801068161668933,0.1228813559322034
101,2014,4,DAL,NO,38,17,32,193.0,5.679905,2.0,23.0,-0.6681304,0.0,1,6.03125,0.17749703125,1,0.802325469090736,0.802325469090736,0.11855670103092783
102,2014,4,DET,NYJ,24,17,24,91.0,-1.8682306,1.0,11.0,2.0748909,1.0,0,3.7916666666666665,-0.0778429416666666,0,0.4694339968910415,0.4694339968910415,0.11956521739130435
103,2014,4,GB,CHI,38,17,18,56.0,1.7229321,1.0,8.0,0.98190343,0.0,0,3.111111111111111,0.09571845,1,0.7136171747691326,0.7136171747691326,0.14035087719298245
104,2014,4,HOU,BUF,23,17,21,39.0,-6.6071725,0.0,16.0,1.2059706,0.0,0,1.8571428571428568,-0.3146272619047619,0,0.177259464848477,0.177259464848477,0.4
105,2014,4,IND,TEN,41,17,37,108.0,-6.1816354,1.0,0.0,0.0,0.0,1,2.918918918918919,-0.167071227027027,0,0.34192321392360187,0.34192321392360187,0.0
106,2014,4,JAX,LAC,14,33,25,85.0,-8.540484,1.0,24.0,-1.2013781,0.0,0,3.4,-0.34161936,0,0.1549810788539255,0.1549810788539255,0.27906976744186046
107,2014,4,KC,NE,41,14,36,209.0,-0.2970661,1.0,10.0,-1.2359674,0.0,1,5.805555555555555,-0.0082518361111111,1,0.5726693612243969,0.5726693612243969,0.047619047619047616
108,2014,4,LAC,JAX,33,14,20,42.0,-6.621519,0.0,0.0,-1.9904928,0.0,0,2.1,-0.33107595,0,0.16339847566753937,0.16339847566753937,0.0
109,2014,4,LV,MIA,14,38,18,53.0,-13.40277,0.0,9.0,0.54758704,0.0,0,2.9444444444444446,-0.7445983333333334,0,0.01630007892620245,0.01630007892620245,0.16666666666666666
110,2014,4,MIA,LV,38,14,35,157.0,-8.065668,2.0,35.0,2.802054,0.0,1,4.485714285714286,-0.2304476571428571,0,0.26253639682028324,0.26253639682028324,0.22151898734177214
111,2014,4,MIN,ATL,41,28,44,241.0,7.271222,4.0,27.0,0.79623014,1.0,1,5.477272727272728,0.1652550454545454,1,0.7904862880275717,0.7904862880275717,0.1115702479338843
112,2014,4,NE,KC,14,41,16,75.0,-2.1308522,0.0,0.0,0.0,0.0,0,4.6875,-0.1331782625,0,0.38875785301411225,0.38875785301411225,0.0
113,2014,4,NO,DAL,17,38,13,104.0,2.8869352,0.0,6.0,1.3982694,0.0,0,8.0,0.2220719384615384,1,0.8411510854286736,0.8411510854286736,0.05714285714285714
114,2014,4,NYG,WAS,45,14,38,154.0,1.455212,2.0,1.0,0.65025526,1.0,1,4.052631578947368,0.0382950526315789,1,0.6388647546696389,0.6388647546696389,0.0064516129032258064
115,2014,4,NYJ,DET,17,24,27,132.0,-1.179699,1.0,4.0,-3.9202368,0.0,1,4.888888888888889,-0.0436925555555555,1,0.5203182967680465,0.5203182967680465,0.03007518796992481
116,2014,4,PHI,SF,21,26,12,22.0,-3.4959946,0.0,1.0,0.24143057,0.0,0,1.8333333333333333,-0.2913328833333333,0,0.19844262406811558,0.19844262406811558,0.043478260869565216
117,2014,4,PIT,TB,24,27,27,85.0,-3.649466,0.0,4.0,0.61866105,0.0,0,3.1481481481481484,-0.1351654074074074,0,0.38594456755104306,0.38594456755104306,0.046511627906976744
118,2014,4,SF,PHI,26,21,40,220.0,3.643117,0.0,60.0,6.463686,0.0,1,5.5,0.091077925,1,0.7079260684373755,0.7079260684373755,0.27149321266968324
119,2014,4,TB,PIT,27,24,19,63.0,1.7649052,1.0,0.0,0.0,0.0,0,3.3157894736842106,0.092889747368421,1,0.710155973448742,0.710155973448742,0.0
120,2014,4,TEN,IND,17,41,16,85.0,2.5856962,1.0,40.0,2.3724475,0.0,0,5.3125,0.1616060125,1,0.7868580846177639,0.7868580846177639,0.46511627906976744
121,2014,4,WAS,NYG,14,45,17,86.0,0.09499586,1.0,12.0,1.3348426,0.0,0,5.0588235294117645,0.0055879917647058,1,0.5927429382955626,0.5927429382955626,0.13793103448275862
122,2014,5,ARI,DEN,20,41,19,37.0,-7.2153125,1.0,0.0,0.0,0.0,0,1.947368421052632,-0.3797532894736842,0,0.12746558821138151,0.12746558821138151,0.0
123,2014,5,ATL,NYG,20,30,21,90.0,-2.9716089,1.0,0.0,0.0,0.0,0,4.285714285714286,-0.1415051857142857,0,0.3770206645332087,0.3770206645332087,0.0
124,2014,5,BAL,IND,13,20,15,90.0,0.5681602,1.0,0.0,0.0,0.0,0,6.0,0.0378773466666666,1,0.638289620989594,0.638289620989594,0.0
125,2014,5,BUF,DET,17,14,23,51.0,-9.611584,0.0,0.0,0.0,0.0,0,2.217391304347826,-0.4178949565217391,0,0.10422833664695451,0.10422833664695451,0.0
126,2014,5,CAR,CHI,31,24,24,93.0,-0.5428353,1.0,11.0,-0.6946063,0.0,0,3.875,-0.0226181375,1,0.5515768573421611,0.5515768573421611,0.11702127659574468
127,2014,5,CHI,CAR,24,31,21,86.0,-6.4993534,1.0,23.0,4.4060173,1.0,0,4.095238095238095,-0.309493019047619,0,0.1817707290410685,0.1817707290410685,0.26436781609195403
128,2014,5,CIN,NE,17,43,18,79.0,-2.3088884,0.0,16.0,0.74561334,0.0,0,4.388888888888889,-0.1282715777777777,0,0.39573592186742546,0.39573592186742546,0.2
129,2014,5,CLE,TEN,29,28,36,176.0,5.8347464,0.0,2.0,0.56336707,0.0,1,4.888888888888889,0.1620762888888889,1,0.7873282363243379,0.7873282363243379,0.011299435028248588
130,2014,5,DAL,HOU,20,17,33,140.0,-4.291301,0.0,0.0,0.0,0.0,1,4.242424242424242,-0.1300394242424242,0,0.3932167099409148,0.3932167099409148,0.0
131,2014,5,DEN,ARI,41,20,26,94.0,-1.2680042,1.0,0.0,0.0,0.0,0,3.615384615384616,-0.0487693923076923,1,0.5127548665144633,0.5127548665144633,0.0
132,2014,5,DET,BUF,14,17,19,70.0,-1.8757482,0.0,9.0,1.7229519,0.0,0,3.684210526315789,-0.0987235894736842,0,0.43856534186287827,0.43856534186287827,0.1267605633802817
133,2014,5,GB,MIN,42,10,27,157.0,2.080804,2.0,0.0,0.0,0.0,1,5.814814814814815,0.0770668148148148,1,0.6903476552150827,0.6903476552150827,0.0
134,2014,5,HOU,DAL,17,20,30,177.0,5.5933228,2.0,4.0,-0.00852555,0.0,1,5.9,0.1864440933333333,1,0.8106545528836206,0.8106545528836206,0.02247191011235955
135,2014,5,IND,BAL,20,13,29,128.0,-9.580059,1.0,23.0,-0.12895656,1.0,1,4.413793103448276,-0.3303468620689655,0,0.1639939340539404,0.1639939340539404,0.17829457364341086
136,2014,5,JAX,PIT,9,17,15,56.0,0.01456964,0.0,14.0,0.9059715,0.0,0,3.733333333333333,0.0009713093333333,1,0.586077672362953,0.586077672362953,0.24561403508771928
137,2014,5,KC,SF,17,22,20,107.0,3.0536633,1.0,6.0,0.14655799,0.0,1,5.35,0.152683165,1,0.7777941514404759,0.7777941514404759,0.05555555555555555
138,2014,5,LA,PHI,28,34,23,125.0,-3.0246964,1.0,30.0,1.3338658,0.0,1,5.434782608695652,-0.1315085391304347,0,0.391127502677561,0.391127502677561,0.23809523809523808
139,2014,5,LAC,NYJ,31,0,40,162.0,-3.5542426,1.0,3.0,-0.14839676,0.0,1,4.05,-0.088856065,0,0.45310849595293723,0.45310849595293723,0.018404907975460124
140,2014,5,MIN,GB,10,42,25,111.0,-1.3242906,1.0,15.0,1.9127313,1.0,1,4.44,-0.052971624,1,0.5064898435504194,0.5064898435504194,0.13392857142857142
141,2014,5,NE,CIN,43,17,43,224.0,4.9884706,1.0,13.0,2.3496628,0.0,1,5.209302325581396,0.1160109441860465,1,0.737705794315893,0.737705794315893,0.057777777777777775
