,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,rushing_epa_allowed_standardized,rushing_epa_per_attempt_allowed,rushing_epa_per_attempt_allowed_standardized,rush_def_value
146,2014,4,WAS,NYG,14,45,38,154.0,1.455212,2.0,0.4735111412472743,0.038295052631578945,0.4468933206438345,-0.4735111412472743
147,2014,5,ARI,DEN,20,41,26,94.0,-1.2680042,1.0,-0.04189623335925497,-0.04876939230769231,0.03888591574694773,0.04189623335925497
149,2014,5,ATL,NYG,20,30,32,127.0,0.68613994,1.0,0.32795332203048383,0.021441873125,0.36791478882712175,-0.32795332203048383
150,2014,5,BAL,IND,13,20,29,128.0,-9.580059,1.0,-1.6150707547408476,-0.3303468620689655,-1.2806618375852326,1.6150707547408476
151,2014,5,BUF,DET,17,14,19,70.0,-1.8757482,0.0,-0.1569204240470419,-0.09872358947368422,-0.19521288731347836,0.1569204240470419
152,2014,5,CAR,CHI,31,24,21,86.0,-6.4993534,1.0,-1.0320034297037712,-0.30949301904761906,-1.1829351205631295,1.0320034297037712
153,2014,5,CHI,CAR,24,31,24,93.0,-0.5428353,1.0,0.09535228877251875,-0.0226181375,0.16143772913444696,-0.09535228877251875
154,2014,5,CIN,NE,17,43,43,224.0,4.9884706,1.0,1.1422305542824718,0.11601094418604652,0.8110908900937226,-1.1422305542824718
156,2014,5,CLE,TEN,29,28,29,150.0,-0.50554204,1.0,0.1024105683270832,-0.017432484137931036,0.18573909546634476,-0.1024105683270832
157,2014,5,DAL,HOU,20,17,30,177.0,5.5933228,2.0,1.2567074307151924,0.18644409333333334,1.1411595699359305,-1.2567074307151924
158,2014,5,DEN,ARI,41,20,19,37.0,-7.2153125,1.0,-1.167508866274196,-0.3797532894736842,-1.5121936442221018,1.167508866274196
159,2014,5,DET,BUF,14,17,23,51.0,-9.611584,0.0,-1.6210373090983279,-0.41789495652173914,-1.6909357541795336,1.6210373090983279
160,2014,5,GB,MIN,42,10,25,111.0,-1.3242906,1.0,-0.05254923463401714,-0.052971624,0.019193127850007347,0.05254923463401714
162,2014,5,HOU,DAL,17,20,33,140.0,-4.291301,0.0,-0.6140981269673794,-0.13003942424242423,-0.34196731140801573,0.6140981269673794
163,2014,5,IND,BAL,20,13,15,90.0,0.5681602,1.0,0.3056239792298054,0.037877346666666666,0.44493583815057697,-0.3056239792298054
164,2014,5,JAX,PIT,9,17,25,113.0,-0.7065279,0.0,0.06437113743810882,-0.028261116,0.1349932142089815,-0.06437113743810882
165,2014,5,KC,SF,17,22,37,174.0,1.5860766,0.0,0.4982791269529019,0.042866935135135134,0.46831839165956957,-0.4982791269529019
166,2014,5,LA,PHI,28,34,32,146.0,-6.7247624,0.0,-1.0746652869968805,-0.210148825,-0.7173815087160169,1.0746652869968805
167,2014,5,LAC,NYJ,31,0,21,91.0,-5.7056723,0.0,-0.8817879998653976,-0.2716986809523809,-1.0058206874924358,0.8817879998653976
168,2014,5,MIN,GB,10,42,27,157.0,2.080804,2.0,0.5919133196328347,0.07706681481481482,0.628588225868297,-0.5919133196328347
169,2014,5,NE,CIN,43,17,18,79.0,-2.3088884,0.0,-0.23889836370476972,-0.12827157777777776,-0.3336827074138174,0.23889836370476972
170,2014,5,NO,TB,37,31,21,66.0,-5.1573787,1.0,-0.7780156424265858,-0.24558946190476189,-0.8834658649821233,0.7780156424265858
171,2014,5,NYG,ATL,30,20,21,90.0,-2.9716089,1.0,-0.3643276384729378,-0.14150518571428572,-0.39569895337235567,0.3643276384729378
